annot_name	trait1	trait2	rho	rho_corrected	se_rho	pvalue	pvalue_corrected	corr	corr_corrected	h2_1	h2_2	p	p0
ALL_	Jansen2018insom	covidhgi2020B2v5alleur	0.00176764727156	0.00113951159007	3.45797352807e-4	3.19101791091e-7	9.83110201723e-4	0.208627237422	0.13449128617	0.0476739752711	0.00150580187291	1001895	1001895
ALL_	Jansen2018insom	covidhgi2020C2v5alleur	0.00141448651785	8.76665428722e-4	3.84198650163e-4	2.31725702626e-4	0.0225010049305	0.13768684051	0.0853350608445	0.0476644176799	0.00221420824937	1020739	1020739
ALL_	Jansen2018insom	covidhgi2020A2v5alleurLeaveUKBB	0.00121059045461	3.6459706354e-4	4.26334527492e-4	0.00451797895849	0.392445920744	0.104973812026	0.0316152696128	0.0476625937438	0.0027903255835	1003041	1003041
ALL_	Jansen2018insom	covidhgi2020B2v5alleurLeaveUKBB	0.00134261156172	0.00112578471269	3.64621376276e-4	2.31223100749e-4	0.00201817575443	0.139445850198	0.116925856202	0.0476502906282	0.00194546769039	999381	999381
ALL_	Jansen2018insom	covidhgi2020C2v5alleurLeaveUKBB	4.58837227367e-4	6.17592085182e-5	4.30383898347e-4	0.286373237551	0.885896927603	0.0447525035915	0.00602365945082	0.0476668640023	0.0022052916886	1016221	1016221
ALL_	Liu2019smkint	covidhgi2020A2v5alleur	0.00135685949406	0.00115111620273	4.27001109755e-4	0.00148474563839	0.00702165505358	0.116429761456	0.0987752862242	0.0618910890276	0.0021943889905	1026142	1026142
ALL_	Liu2019smkint	covidhgi2020B2v5alleur	0.00257833098319	0.0022951262208	3.80651784243e-4	1.25735270829e-11	1.64504378108e-9	0.26692228096	0.237603445772	0.0618558534573	0.00150843595826	1023754	1023754
ALL_	Liu2019smkint	covidhgi2020C2v5alleur	0.00266604083504	0.00222109970648	4.38437607396e-4	1.1960236075e-9	4.06384592531e-7	0.225548126558	0.187905928187	0.0618505238898	0.00225897676211	1044004	1044004
ALL_	Liu2019smkint	covidhgi2020A2v5alleurLeaveUKBB	0.001142663724	9.05216614393e-4	4.90496087413e-4	0.0198268665658	0.0649630355191	0.0864510617623	0.068486411002	0.0618428473147	0.00282492381863	1024826	1024826
ALL_	Liu2019smkint	covidhgi2020B2v5alleurLeaveUKBB	0.00166494723084	0.00143038806304	4.00924729905e-4	3.28478278152e-5	3.60097968379e-4	0.151803761036	0.130417519359	0.0617792424203	0.00194712263439	1020289	1020289
ALL_	Liu2019smkint	covidhgi2020C2v5alleurLeaveUKBB	9.25022009273e-4	9.02390623027e-4	4.60797378744e-4	0.0447030828003	0.0501919918246	0.0782082537688	0.0762948277304	0.0618243624814	0.00226276424375	1039536	1039536
ALL_	Liu2019smkcpd	covidhgi2020A2v5alleur	0.00144560327201	0.00198299832406	5.0670086998e-4	0.00433124706097	9.09497011486e-5	0.119492304806	0.163912910794	0.0670245184574	0.00218365822902	1039033	1039033
ALL_	Liu2019smkcpd	covidhgi2020B2v5alleur	0.00236552612919	0.00257853168051	5.09090670368e-4	3.37497417628e-6	4.08453266764e-7	0.234450863057	0.255562164566	0.0669845884152	0.00151976673488	1036569	1036569
ALL_	Liu2019smkcpd	covidhgi2020C2v5alleur	7.63808119833e-4	4.27849221005e-4	4.96326855027e-4	0.123823436271	0.388670363961	0.0618582131446	0.0346500483819	0.0670274484178	0.00227468421241	1057047	1057047
ALL_	Liu2019smkcpd	covidhgi2020A2v5alleurLeaveUKBB	0.00128161814381	0.00210184823462	5.30243286568e-4	0.0156473858523	7.37253177011e-5	0.093275755451	0.152971837106	0.0669825508013	0.00281850014661	1037703	1037703
ALL_	Liu2019smkcpd	covidhgi2020B2v5alleurLeaveUKBB	0.00171491717354	0.00239539799668	4.85494081665e-4	4.11941082499e-4	8.05877767133e-7	0.148991346655	0.20811125972	0.0669000764577	0.00198033012381	1033056	1033056
ALL_	Liu2019smkcpd	covidhgi2020C2v5alleurLeaveUKBB	-5.10874932343e-4	-5.13288286658e-4	5.42391211136e-4	0.346247002059	0.343973516852	-0.0413654933827	-0.0415609024459	0.0669867253161	0.00227700519486	1052501	1052501
ALL_	Liu2019drnkwk	covidhgi2020A2v5alleur	8.07203840394e-5	-2.91862441796e-4	4.11228005066e-4	0.844382352614	0.47786918701	0.00821593293318	-0.0297065267471	0.0442026167956	0.0021837588984	1038899	1038899
ALL_	Liu2019drnkwk	covidhgi2020B2v5alleur	6.714626275e-4	0.00102178412247	3.37382526908e-4	0.0465676281408	0.00245720115766	0.0819602934362	0.124721351682	0.0441749231833	0.00151936066591	1036443	1036443
